GeneName,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,status
A1BG,76.40624299,0.143778204,0.273933602,0.52486516,0.599676931,0.831618797,OK
A1BG-AS1,52.45230068,-0.174453925,0.326568741,-0.534202766,0.593201256,0.829007433,OK
A1CF,5.316615647,0.363327745,0.924026451,0.39320059,0.694171334,NaN,Low
A2M,0,NaN,NaN,NaN,NaN,NaN,Low
A2M-AS1,24.29298386,0.019340635,0.453736043,0.0426253,0.966000227,0.987279399,OK
A2ML1,0.130373766,-1.622020315,4.07370695,-0.398168139,0.69050625,NaN,Low
A2MP1,0,NaN,NaN,NaN,NaN,NaN,Low
A3GALT2,0,NaN,NaN,NaN,NaN,NaN,Low
A4GALT,256.2455643,0.054543529,0.197838265,0.27569757,0.782780362,0.920830541,OK
A4GNT,13.04825845,-0.754207185,0.598784375,-1.259563903,0.207826724,NaN,Low
AA06,0,NaN,NaN,NaN,NaN,NaN,Low
AAAS,1144.70874,-0.172214971,0.139082218,-1.238224219,0.215632934,0.571682574,OK
AACS,1215.933035,-0.285768957,0.134633738,-2.122565715,0.03379026,0.352320558,OK
AACSP1,5.402042349,-0.038869155,0.921389086,-0.042185387,0.966350912,NaN,Low
AADAC,243.6208264,0.404819631,0.223240051,1.813382633,0.069772826,0.426777072,OK
AADACL2,0,NaN,NaN,NaN,NaN,NaN,Low
AADACL2-AS1,0,NaN,NaN,NaN,NaN,NaN,Low
AADACL3,0,NaN,NaN,NaN,NaN,NaN,Low
AADACL4,0,NaN,NaN,NaN,NaN,NaN,Low
AADACP1,107.9030421,0.26961082,0.280660915,0.96062831,0.336739089,0.666816867,OK
AADAT,174.8711668,0.163736466,0.199495725,0.820751755,0.411787684,0.719002904,OK
AAGAB,1704.910176,0.270928716,0.140477382,1.928628731,0.05377697,0.400503099,OK
AAK1,499.0944604,-0.085625198,0.157098805,-0.545040416,0.585725721,0.824875345,OK
AAMDC,186.3212324,0.012053359,0.18665134,0.064576869,0.948510902,0.980041547,OK
AAMP,2146.046484,-0.184705522,0.130295026,-1.417594574,0.156309165,0.520822118,OK
AANAT,5.659449095,-0.024954907,0.899721328,-0.027736263,0.977872502,NaN,Low
AAR2,916.8206492,-0.153124356,0.129449168,-1.182891781,0.236852039,0.589704401,OK
AARD,0.768008243,-0.700693924,2.598751795,-0.269627105,0.787447145,NaN,Low
AARS,5655.333752,-0.133067599,0.127235114,-1.045840214,0.295634811,0.638426558,OK
AARS2,399.4948186,-0.193740827,0.17348073,-1.116785864,0.264085895,0.61150619,OK
AARSD1,635.248624,-0.136458722,0.141217171,-0.966304035,0.333892068,0.66436811,OK
AASDH,161.2099548,0.38461643,0.242218645,1.587889442,0.112311341,0.474186939,OK
AASDHPPT,643.8485804,0.501675083,0.195548872,2.565471636,0.010303565,0.267186147,OK
AASS,6.067196806,-0.480317027,0.842207959,-0.57030692,0.568469548,NaN,Low
AATBC,15.1275836,-0.573662012,0.567631618,-1.010623782,0.312196529,0.64909034,OK
AATF,2449.172234,-0.073539402,0.119387613,-0.61597179,0.537913139,0.796138405,OK
AATK,13.48287372,-0.29474152,0.601678776,-0.489865242,0.62422926,NaN,Low
